anomaly_id,콘텐츠명,day,area_id,area_name,report_target_id,target_name,report_type_id,report_type,warning_sec,active_sec,can_escalate,next_stage_id,is_emergency,schedule_type,weight,allow_repeat,implementation_status,비고
D1_A01,휠체어 위치 변화,1,100,생활관 복도,100,휠체어,100,PositionChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D1_A02,의자 한 개 증가,1,100,생활관 복도,101,의자,101,Added,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D1_A03,치료실 커튼 소실,1,200,치료실,105,커튼,102,Missing,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D1_A04,초상화 방향 반전,1,100,생활관 복도,104,초상화,104,ShapeChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D1_A05,조명 한 칸 소등,1,100,생활관 복도,103,조명,103,StateChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D1_A06,생활관 문 하나 열림,1,100,생활관 복도,102,문,103,StateChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D1_A07,치료실 침대 시트 무늬 변화,1,200,치료실,107,환자 침대,104,ShapeChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D1_A08,설비실 공구함 위치 이동,1,300,설비실,106,공구함,100,PositionChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D1_A09,비상구 표지 방향 반전,1,100,생활관 복도,108,비상구 표지,104,ShapeChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D1_A10,치료실 벽시계 분침 고정,1,200,치료실,109,벽시계,103,StateChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D1_A11,전화 수화기 이탈,1,200,치료실,110,전화기,100,PositionChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D2_A01,침대 옆 환자 출현,2,200,치료실,200,인물,101,Added,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D2_A02,직원이 걷지 않고 미끄러짐,2,100,생활관 복도,200,인물,105,AbnormalBehavior,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D2_A03,동일 직원이 두 구역에 동시 등장,2,200,치료실,200,인물,101,Added,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D2_A04,정지 인물이 고개만 회전,2,100,생활관 복도,200,인물,105,AbnormalBehavior,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D2_A05,복도 끝 인물이 반대 방향을 응시,2,100,생활관 복도,200,인물,103,StateChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D2_A06,인물 그림자가 1초 늦게 움직임,2,200,치료실,200,인물,105,AbnormalBehavior,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D2_A07,초상화 속 인물이 직원으로 교체,2,100,생활관 복도,104,초상화,104,ShapeChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D2_A08,빈 커튼이 호흡하듯 부풀어 오름,2,200,치료실,105,커튼,105,AbnormalBehavior,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D2_A09,빈 침대에 사람 형태 눌림 발생,2,200,치료실,107,환자 침대,104,ShapeChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D2_A10,직원 명찰 글자가 노이즈 무늬로 변경,2,100,생활관 복도,200,인물,104,ShapeChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D2_A11,인물이 카메라를 향해 손을 들어 올림,2,200,치료실,200,인물,105,AbnormalBehavior,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D3_A01,벽시계 초침 역회전,3,200,치료실,109,벽시계,105,AbnormalBehavior,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D3_A02,인물이 같은 손동작을 반복,3,200,치료실,200,인물,105,AbnormalBehavior,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D3_A03,생활관 문이 닫혔다 다시 열림,3,100,생활관 복도,102,문,105,AbnormalBehavior,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D3_A04,휠체어가 두 위치를 왕복,3,100,생활관 복도,100,휠체어,105,AbnormalBehavior,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D3_A05,설비실 모니터 정지 화면이 맥동,3,300,설비실,202,모니터,104,ShapeChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D3_A06,서버 랙 표시등이 역순 점멸,3,400,서버실,203,서버 랙,105,AbnormalBehavior,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D3_A07,두 벽시계가 서로 다른 시각 표시,3,100,생활관 복도,109,벽시계,104,ShapeChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D3_A08,서버실 환기구 덮개가 반복 진동,3,400,서버실,204,환기구,105,AbnormalBehavior,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D3_A09,설비실 공구 카트 위치 교환,3,300,설비실,106,공구함,100,PositionChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D3_A10,치료실 조명이 순서대로 소등,3,200,치료실,103,조명,105,AbnormalBehavior,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
D3_A11,생활관 의자가 천천히 복도 중앙으로 이동,3,100,생활관 복도,101,의자,100,PositionChange,0,20,아니오,,아니오,랜덤 풀,1,예,기획 중,일반 보고형 콘텐츠. 스토리 단서 없음
